,,,2021q2,2021q4,2021q3,2022q2,2022q4,2022q3,2021q1,2022q1
ADVANCED MICRO DEVICES INC,CP,EntityCommonStockSharesOutstanding,1215020976.0,1207610455.0,1212965282.0,1620507904.0,1612356162.0,1614320900.0,1211280009.0,1199303422.0
ADVANCED MICRO DEVICES INC,BS,PrepaidExpenseAndOtherAssetsCurrent,243000000.0,249000000.0,234000000.0,725000000.0,1120000000.0,769000000.0,378000000.0,312000000.0
ADVANCED MICRO DEVICES INC,BS,OtherLiabilitiesCurrent,96000000.0,120000000.0,109000000.0,518000000.0,359000000.0,258000000.0,75000000.0,98000000.0
ADVANCED MICRO DEVICES INC,BS,LiabilitiesCurrent,2864000000.0,3564000000.0,2892000000.0,5581000000.0,6691000000.0,5523000000.0,2417000000.0,4240000000.0
ADVANCED MICRO DEVICES INC,BS,EquityMethodInvestments,65000000.0,69000000.0,67000000.0,72000000.0,80000000.0,76000000.0,63000000.0,69000000.0
ADVANCED MICRO DEVICES INC,BS,AdditionalPaidInCapitalCommonStock,10658000000.0,10905000000.0,10795000000.0,56925000000.0,57581000000.0,57297000000.0,10544000000.0,11069000000.0
ADVANCED MICRO DEVICES INC,BS,CommonStockSharesIssued,1221000000.0,1230000000.0,1223000000.0,1629000000.0,1642000000.0,1631000000.0,1217000000.0,1232000000.0
ADVANCED MICRO DEVICES INC,BS,CommitmentsAndContingencies,,,,,,,,
ADVANCED MICRO DEVICES INC,BS,CommonStockValue,12000000.0,12000000.0,12000000.0,16000000.0,16000000.0,16000000.0,12000000.0,12000000.0
ADVANCED MICRO DEVICES INC,BS,Goodwill,289000000.0,289000000.0,289000000.0,23083000000.0,24187000000.0,24193000000.0,289000000.0,289000000.0
ADVANCED MICRO DEVICES INC,BS,AccruedLiabilitiesCurrent,1779000000.0,2048000000.0,1911000000.0,3070000000.0,3598000000.0,3074000000.0,1796000000.0,2424000000.0
ADVANCED MICRO DEVICES INC,BS,StockholdersEquity,6477000000.0,7136000000.0,7065000000.0,55333000000.0,54542000000.0,55169000000.0,5837000000.0,7497000000.0
ADVANCED MICRO DEVICES INC,BS,LiabilitiesAndStockholdersEquity,10047000000.0,11153000000.0,10691000000.0,66915000000.0,67811000000.0,67502000000.0,8962000000.0,12419000000.0
ADVANCED MICRO DEVICES INC,BS,CashAndCashEquivalentsAtCarryingValue,1763000000.0,2440000000.0,2623000000.0,4740000000.0,3398000000.0,4964000000.0,1595000000.0,2535000000.0
ADVANCED MICRO DEVICES INC,BS,ShortTermInvestments,1353000000.0,1168000000.0,1170000000.0,1792000000.0,2193000000.0,1028000000.0,695000000.0,1073000000.0
ADVANCED MICRO DEVICES INC,BS,OtherLiabilitiesNoncurrent,155000000.0,183000000.0,181000000.0,1047000000.0,1610000000.0,1118000000.0,177000000.0,333000000.0
ADVANCED MICRO DEVICES INC,BS,DueFromRelatedPartiesCurrent,7000000.0,5000000.0,6000000.0,4000000.0,4000000.0,3000000.0,,
ADVANCED MICRO DEVICES INC,BS,TreasuryStockValue,141000000.0,1356000000.0,401000000.0,941000000.0,2815000000.0,1893000000.0,131000000.0,2130000000.0
ADVANCED MICRO DEVICES INC,BS,AssetsCurrent,7197000000.0,7988000000.0,7818000000.0,13369000000.0,14420000000.0,13462000000.0,6143000000.0,8583000000.0
ADVANCED MICRO DEVICES INC,BS,AccountsPayableCurrent,949000000.0,1048000000.0,836000000.0,1476000000.0,2337000000.0,1518000000.0,468000000.0,1321000000.0
ADVANCED MICRO DEVICES INC,BS,InventoryNet,1653000000.0,1902000000.0,1765000000.0,2431000000.0,3369000000.0,2648000000.0,1399000000.0,1955000000.0
ADVANCED MICRO DEVICES INC,BS,LongTermDebtNoncurrent,313000000.0,1000000.0,313000000.0,1475000000.0,2466000000.0,2465000000.0,330000000.0,1000000.0
ADVANCED MICRO DEVICES INC,BS,Assets,10047000000.0,11153000000.0,10691000000.0,66915000000.0,67811000000.0,67502000000.0,8962000000.0,12419000000.0
ADVANCED MICRO DEVICES INC,BS,CommonStockSharesOutstanding,1215000000.0,1212000000.0,1213000000.0,1620000000.0,1612000000.0,1612000000.0,1211000000.0,1207000000.0
ADVANCED MICRO DEVICES INC,BS,DeferredIncomeTaxAssetsNet,1162000000.0,1036000000.0,1090000000.0,32000000.0,32000000.0,32000000.0,1245000000.0,931000000.0
ADVANCED MICRO DEVICES INC,BS,AccumulatedOtherComprehensiveIncomeLossNetOfTax,6000000.0,0.0,7000000.0,-2000000.0,-88000000.0,-33000000.0,17000000.0,-3000000.0
ADVANCED MICRO DEVICES INC,BS,OperatingLeaseLiabilityNoncurrent,238000000.0,269000000.0,240000000.0,370000000.0,424000000.0,422000000.0,201000000.0,348000000.0
ADVANCED MICRO DEVICES INC,BS,CommonStockParOrStatedValuePerShare,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
ADVANCED MICRO DEVICES INC,BS,OtherAssetsNoncurrent,412000000.0,770000000.0,509000000.0,1705000000.0,1954000000.0,1657000000.0,373000000.0,1478000000.0
ADVANCED MICRO DEVICES INC,BS,TreasuryStockShares,6000000.0,18000000.0,10000000.0,9000000.0,30000000.0,19000000.0,6000000.0,25000000.0
ADVANCED MICRO DEVICES INC,BS,RetainedEarningsAccumulatedDeficit,-4058000000.0,-2425000000.0,-3348000000.0,-665000000.0,-152000000.0,-218000000.0,-4605000000.0,-1451000000.0
ADVANCED MICRO DEVICES INC,BS,AccountsReceivableNetCurrent,2178000000.0,2224000000.0,2020000000.0,3677000000.0,4336000000.0,4050000000.0,2066000000.0,2706000000.0
ADVANCED MICRO DEVICES INC,BS,PropertyPlantAndEquipmentNet,681000000.0,717000000.0,671000000.0,1406000000.0,1486000000.0,1441000000.0,641000000.0,702000000.0
ADVANCED MICRO DEVICES INC,BS,DueToRelatedPartiesCurrent,40000000.0,36000000.0,36000000.0,205000000.0,397000000.0,361000000.0,,
ADVANCED MICRO DEVICES INC,BS,CommonStockSharesAuthorized,2250000000.0,2250000000.0,2250000000.0,2250000000.0,2250000000.0,2250000000.0,2250000000.0,2250000000.0
ADVANCED MICRO DEVICES INC,BS,OperatingLeaseRightOfUseAsset,241000000.0,284000000.0,247000000.0,416000000.0,490000000.0,482000000.0,208000000.0,367000000.0
ADVANCED MICRO DEVICES INC,EQ,StockholdersEquity,6477000000.0,7136000000.0,7065000000.0,55333000000.0,54542000000.0,55169000000.0,5837000000.0,7497000000.0
ADVANCED MICRO DEVICES INC,EQ,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,24000000.0,25000000.0,25000000.0,0.0,0.0,0.0,,
ADVANCED MICRO DEVICES INC,EQ,PaymentsRelatedToTaxWithholdingForShareBasedCompensation,10000000.0,219000000.0,14000000.0,35000000.0,371000000.0,66000000.0,78000000.0,237000000.0
ADVANCED MICRO DEVICES INC,EQ,NetIncomeLoss,555000000.0,923000000.0,710000000.0,786000000.0,66000000.0,447000000.0,1781000000.0,3162000000.0
ADVANCED MICRO DEVICES INC,CF,OtherNoncashIncomeExpense,3000000.0,6000000.0,4000000.0,2000000.0,9000000.0,4000000.0,-6000000.0,7000000.0
ADVANCED MICRO DEVICES INC,CF,IncreaseDecreaseInDueToRelatedParties,-38000000.0,-42000000.0,-42000000.0,121000000.0,313000000.0,277000000.0,-135000000.0,7000000.0
ADVANCED MICRO DEVICES INC,CF,RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability,58000000.0,128000000.0,77000000.0,7000000.0,119000000.0,87000000.0,45000000.0,227000000.0
ADVANCED MICRO DEVICES INC,CF,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,1763000000.0,2440000000.0,2623000000.0,4740000000.0,3398000000.0,4964000000.0,1595000000.0,2535000000.0
ADVANCED MICRO DEVICES INC,CF,DeferredIncomeTaxesAndTaxCredits,73000000.0,201000000.0,145000000.0,-342000000.0,1328000000.0,618000000.0,-1223000000.0,308000000.0
ADVANCED MICRO DEVICES INC,CF,PaymentsToAcquireShortTermInvestments,858000000.0,1901000000.0,1130000000.0,100000000.0,2399000000.0,620000000.0,850000000.0,2056000000.0
ADVANCED MICRO DEVICES INC,CF,IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,-41000000.0,199000000.0,90000000.0,412000000.0,994000000.0,71000000.0,574000000.0,526000000.0
ADVANCED MICRO DEVICES INC,CF,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-33000000.0,284000000.0,55000000.0,260000000.0,825000000.0,237000000.0,231000000.0,920000000.0
ADVANCED MICRO DEVICES INC,CF,IncreaseDecreaseInAccountsReceivable,112000000.0,158000000.0,-46000000.0,672000000.0,1301000000.0,1016000000.0,219000000.0,640000000.0
ADVANCED MICRO DEVICES INC,CF,OtherDepreciationAndAmortization,95000000.0,289000000.0,192000000.0,609000000.0,2954000000.0,1789000000.0,312000000.0,407000000.0
ADVANCED MICRO DEVICES INC,CF,NoncashOrPartNoncashAcquisitionFixedAssetsAcquired1,34000000.0,37000000.0,37000000.0,13000000.0,13000000.0,13000000.0,111000000.0,37000000.0
ADVANCED MICRO DEVICES INC,CF,OperatingLeaseRightOfUseAssetAmortizationExpense,12000000.0,40000000.0,25000000.0,19000000.0,63000000.0,40000000.0,42000000.0,56000000.0
ADVANCED MICRO DEVICES INC,CF,NetCashProvidedByUsedInOperatingActivities,898000000.0,2699000000.0,1850000000.0,995000000.0,2998000000.0,2033000000.0,1071000000.0,3521000000.0
ADVANCED MICRO DEVICES INC,CF,GainLossOnSaleOfPropertyPlantEquipment,-8000000.0,-19000000.0,-19000000.0,-15000000.0,-15000000.0,-15000000.0,-33000000.0,-34000000.0
ADVANCED MICRO DEVICES INC,CF,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,24000000.0,25000000.0,25000000.0,0.0,0.0,0.0,,
ADVANCED MICRO DEVICES INC,CF,PaymentsRelatedToTaxWithholdingForShareBasedCompensation,10000000.0,219000000.0,14000000.0,35000000.0,371000000.0,66000000.0,78000000.0,237000000.0
ADVANCED MICRO DEVICES INC,CF,PaymentsForProceedsFromOtherInvestingActivities,-2000000.0,-2000000.0,-2000000.0,1000000.0,15000000.0,4000000.0,0.0,7000000.0
ADVANCED MICRO DEVICES INC,CF,IncreaseDecreaseInAccountsPayable,466000000.0,526000000.0,346000000.0,4000000.0,811000000.0,28000000.0,-513000000.0,801000000.0
ADVANCED MICRO DEVICES INC,CF,CashAndCashEquivalentsAtCarryingValue,1763000000.0,2440000000.0,2623000000.0,4740000000.0,3398000000.0,4964000000.0,1595000000.0,2535000000.0
ADVANCED MICRO DEVICES INC,CF,ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,2000000.0,55000000.0,51000000.0,2000000.0,79000000.0,78000000.0,85000000.0,104000000.0
ADVANCED MICRO DEVICES INC,CF,IncreaseDecreaseInDueFromRelatedParties,-3000000.0,-5000000.0,-4000000.0,1000000.0,1000000.0,1000000.0,,
ADVANCED MICRO DEVICES INC,CF,ShareBasedCompensation,85000000.0,267000000.0,168000000.0,199000000.0,766000000.0,491000000.0,274000000.0,379000000.0
ADVANCED MICRO DEVICES INC,CF,ProceedsFromMaturitiesPrepaymentsAndCallsOfShorttermInvestments,200000000.0,1428000000.0,655000000.0,964000000.0,2864000000.0,2249000000.0,,
ADVANCED MICRO DEVICES INC,CF,NetIncomeLoss,555000000.0,923000000.0,710000000.0,786000000.0,66000000.0,447000000.0,1781000000.0,3162000000.0
ADVANCED MICRO DEVICES INC,CF,IncreaseDecreaseInInventories,254000000.0,504000000.0,366000000.0,26000000.0,997000000.0,274000000.0,417000000.0,556000000.0
